config:
pretrained_embedding_file:H://competition/pre_embed/sgns.target.word-ngram.1-2.dynwin5.thr10.neg5.dim300.iter5
data_dir:data/ctb60/
train_file:train.ctb60.seg.hwc
dev_file:dev.ctb60.seg.hwc
test_file:test.ctb60.seg.hwc
min_occur_cnt:0
use_own:False
save_dir:saved/
log_dir:log/
log_file:log.txt
best_model_file:best_model.model
save_vocab_file:vocab.vocab
save_after:10
lstm_layers:1
lstm_hiddens:200
char_dims:300
bichar_dims:300
input_dims:300
dropout_emb:0.33
dropout_lstm_input:0.33
dropout_lstm_hidden:0.33
dropout_mlp:0
optim:Adam
learning_rate:0.002
decay:0.75
decay_steps:500
beta_1:0.9
beta_2:0.9
epsilon:1e-12
clip:5.0
gpu:True
num_buckets_train:40
num_buckets_valid:10
num_buckets_test:10
train_iters:50
train_batch_size:32
test_batch_size:32
validate_every:1
update_every:4

GPU available: True  CuDNN: True
train num: 23401; dev num: 2078; test num: 2795
Vocab info: #char 4227, #bichar 206964
Step:0, epoch:0, batch:0, time:0.21, acc:0.49, loss:34.11
Step:0, epoch:0, batch:1, time:0.41, acc:0.49, loss:29.07
Step:0, epoch:0, batch:2, time:0.62, acc:0.49, loss:27.04
Step:0, epoch:0, batch:3, time:0.79, acc:0.49, loss:29.64
Step:1, epoch:0, batch:4, time:1.02, acc:0.47, loss:70.00
Step:1, epoch:0, batch:5, time:1.25, acc:0.46, loss:72.39
Step:1, epoch:0, batch:6, time:1.43, acc:0.45, loss:57.67
Step:1, epoch:0, batch:7, time:1.58, acc:0.44, loss:67.24
Step:2, epoch:0, batch:8, time:1.79, acc:0.46, loss:26.38
Step:2, epoch:0, batch:9, time:1.99, acc:0.49, loss:32.54
Step:2, epoch:0, batch:10, time:2.20, acc:0.51, loss:29.52
Step:2, epoch:0, batch:11, time:2.43, acc:0.52, loss:31.60
Step:3, epoch:0, batch:12, time:2.63, acc:0.53, loss:30.17
Step:3, epoch:0, batch:13, time:2.83, acc:0.53, loss:29.34
Step:3, epoch:0, batch:14, time:3.07, acc:0.54, loss:30.51
Step:3, epoch:0, batch:15, time:3.24, acc:0.54, loss:26.43
Step:4, epoch:0, batch:16, time:3.45, acc:0.55, loss:29.57
Step:4, epoch:0, batch:17, time:3.65, acc:0.55, loss:21.22
Step:4, epoch:0, batch:18, time:3.82, acc:0.56, loss:21.50
Step:4, epoch:0, batch:19, time:4.07, acc:0.56, loss:26.39
Step:5, epoch:0, batch:20, time:4.27, acc:0.56, loss:26.29
Step:5, epoch:0, batch:21, time:4.43, acc:0.55, loss:22.13
Step:5, epoch:0, batch:22, time:4.58, acc:0.55, loss:21.39
Step:5, epoch:0, batch:23, time:4.74, acc:0.55, loss:22.62
Step:6, epoch:0, batch:24, time:5.03, acc:0.54, loss:24.08
Step:6, epoch:0, batch:25, time:5.22, acc:0.54, loss:21.74
Step:6, epoch:0, batch:26, time:5.44, acc:0.54, loss:23.08
Step:6, epoch:0, batch:27, time:5.64, acc:0.54, loss:18.85
Step:7, epoch:0, batch:28, time:5.83, acc:0.54, loss:23.37
Step:7, epoch:0, batch:29, time:6.04, acc:0.55, loss:24.03
Step:7, epoch:0, batch:30, time:6.28, acc:0.56, loss:17.90
Step:7, epoch:0, batch:31, time:6.49, acc:0.56, loss:23.77
Step:8, epoch:0, batch:32, time:6.78, acc:0.57, loss:26.81
Step:8, epoch:0, batch:33, time:7.06, acc:0.57, loss:25.30
Step:8, epoch:0, batch:34, time:7.25, acc:0.58, loss:17.04
Step:8, epoch:0, batch:35, time:7.48, acc:0.58, loss:26.50
Step:9, epoch:0, batch:36, time:7.65, acc:0.59, loss:18.84
Step:9, epoch:0, batch:37, time:7.82, acc:0.59, loss:15.97
Step:9, epoch:0, batch:38, time:8.10, acc:0.60, loss:21.92
Step:9, epoch:0, batch:39, time:8.48, acc:0.60, loss:18.90
Step:10, epoch:0, batch:40, time:8.65, acc:0.60, loss:18.88
Step:10, epoch:0, batch:41, time:8.87, acc:0.61, loss:17.91
Step:10, epoch:0, batch:42, time:9.23, acc:0.61, loss:20.47
Step:10, epoch:0, batch:43, time:9.43, acc:0.61, loss:16.68
Step:11, epoch:0, batch:44, time:9.61, acc:0.61, loss:16.87
Step:11, epoch:0, batch:45, time:9.91, acc:0.61, loss:21.34
Step:11, epoch:0, batch:46, time:10.13, acc:0.62, loss:20.25
Step:11, epoch:0, batch:47, time:10.32, acc:0.62, loss:17.36
Step:12, epoch:0, batch:48, time:10.60, acc:0.62, loss:17.11
Step:12, epoch:0, batch:49, time:10.94, acc:0.62, loss:22.85
Step:12, epoch:0, batch:50, time:11.18, acc:0.63, loss:17.86
Step:12, epoch:0, batch:51, time:11.40, acc:0.63, loss:16.67
Step:13, epoch:0, batch:52, time:11.69, acc:0.63, loss:13.66
Step:13, epoch:0, batch:53, time:11.91, acc:0.64, loss:15.81
Step:13, epoch:0, batch:54, time:12.13, acc:0.64, loss:15.11
Step:13, epoch:0, batch:55, time:12.36, acc:0.64, loss:16.27
Step:14, epoch:0, batch:56, time:12.56, acc:0.65, loss:14.60
Step:14, epoch:0, batch:57, time:12.87, acc:0.65, loss:16.71
Step:14, epoch:0, batch:58, time:13.08, acc:0.65, loss:18.95
Step:14, epoch:0, batch:59, time:13.29, acc:0.66, loss:13.98
Step:15, epoch:0, batch:60, time:13.49, acc:0.66, loss:13.16
Step:15, epoch:0, batch:61, time:13.69, acc:0.66, loss:14.62
Step:15, epoch:0, batch:62, time:13.98, acc:0.67, loss:17.77
Step:15, epoch:0, batch:63, time:14.15, acc:0.67, loss:12.54
Step:16, epoch:0, batch:64, time:14.33, acc:0.67, loss:10.64
Step:16, epoch:0, batch:65, time:14.53, acc:0.67, loss:11.76
Step:16, epoch:0, batch:66, time:14.72, acc:0.68, loss:13.95
Step:16, epoch:0, batch:67, time:14.91, acc:0.68, loss:15.12
Step:17, epoch:0, batch:68, time:15.26, acc:0.68, loss:16.53
Step:17, epoch:0, batch:69, time:15.50, acc:0.69, loss:14.31
Step:17, epoch:0, batch:70, time:15.72, acc:0.69, loss:13.81
Step:17, epoch:0, batch:71, time:15.93, acc:0.69, loss:13.21
Step:18, epoch:0, batch:72, time:16.11, acc:0.69, loss:11.50
Step:18, epoch:0, batch:73, time:16.33, acc:0.70, loss:16.63
Step:18, epoch:0, batch:74, time:16.57, acc:0.70, loss:9.99
Step:18, epoch:0, batch:75, time:16.80, acc:0.70, loss:14.25
Step:19, epoch:0, batch:76, time:17.20, acc:0.70, loss:18.52
Step:19, epoch:0, batch:77, time:17.38, acc:0.70, loss:13.52
Step:19, epoch:0, batch:78, time:17.56, acc:0.71, loss:13.91
Step:19, epoch:0, batch:79, time:17.76, acc:0.71, loss:14.34
Step:20, epoch:0, batch:80, time:17.91, acc:0.71, loss:9.38
Step:20, epoch:0, batch:81, time:18.17, acc:0.71, loss:12.82
Step:20, epoch:0, batch:82, time:18.37, acc:0.71, loss:11.36
Step:20, epoch:0, batch:83, time:18.66, acc:0.71, loss:11.00
Step:21, epoch:0, batch:84, time:18.90, acc:0.72, loss:12.60
Step:21, epoch:0, batch:85, time:19.07, acc:0.72, loss:11.35
Step:21, epoch:0, batch:86, time:19.27, acc:0.72, loss:12.28
Step:21, epoch:0, batch:87, time:19.49, acc:0.72, loss:13.18
Step:22, epoch:0, batch:88, time:19.73, acc:0.72, loss:12.89
Step:22, epoch:0, batch:89, time:19.90, acc:0.73, loss:10.35
Step:22, epoch:0, batch:90, time:20.06, acc:0.73, loss:9.90
Step:22, epoch:0, batch:91, time:20.33, acc:0.73, loss:12.08
Step:23, epoch:0, batch:92, time:20.54, acc:0.73, loss:13.15
Step:23, epoch:0, batch:93, time:20.71, acc:0.73, loss:8.86
Step:23, epoch:0, batch:94, time:20.88, acc:0.74, loss:10.20
Step:23, epoch:0, batch:95, time:21.07, acc:0.74, loss:10.86
Step:24, epoch:0, batch:96, time:21.33, acc:0.74, loss:12.12
Step:24, epoch:0, batch:97, time:21.50, acc:0.74, loss:7.80
Step:24, epoch:0, batch:98, time:21.69, acc:0.74, loss:10.17
Step:24, epoch:0, batch:99, time:21.93, acc:0.74, loss:10.90
