config:
pretrained_embedding_file:H://competition/pre_embed/sgns.target.word-ngram.1-2.dynwin5.thr10.neg5.dim300.iter5
data_dir:data/ctb60/
train_file:train.ctb60.seg.hwc
dev_file:dev.ctb60.seg.hwc
test_file:test.ctb60.seg.hwc
min_occur_cnt:0
use_own:True
save_dir:saved/
log_dir:log/
log_file:log_mine_no_std.txt
best_model_file:best_model.model
save_vocab_file:vocab.vocab
save_after:10
lstm_layers:1
lstm_hiddens:200
char_dims:300
bichar_dims:300
input_dims:300
dropout_emb:0.33
dropout_lstm_input:0.33
dropout_lstm_hidden:0.33
dropout_mlp:0
optim:Adam
learning_rate:0.002
decay:0.75
decay_steps:500
beta_1:0.9
beta_2:0.9
epsilon:1e-12
clip:5.0
gpu:True
num_buckets_train:40
num_buckets_valid:10
num_buckets_test:10
train_iters:30
train_batch_size:32
test_batch_size:32
validate_every:1
update_every:4

GPU available: True  CuDNN: True
train num: 23401; dev num: 2078; test num: 2795
Vocab info: #char 4227, #bichar 206964
Step:0, epoch:0, batch:0, time:0.39, acc:0.50, loss:33.85
Step:0, epoch:0, batch:1, time:0.60, acc:0.51, loss:28.92
Step:0, epoch:0, batch:2, time:0.81, acc:0.51, loss:26.98
Step:0, epoch:0, batch:3, time:0.99, acc:0.51, loss:29.47
Step:1, epoch:0, batch:4, time:1.22, acc:0.49, loss:41.76
Step:1, epoch:0, batch:5, time:1.46, acc:0.47, loss:43.27
Step:1, epoch:0, batch:6, time:1.63, acc:0.46, loss:34.39
Step:1, epoch:0, batch:7, time:1.81, acc:0.45, loss:40.09
Step:2, epoch:0, batch:8, time:2.01, acc:0.47, loss:26.17
Step:2, epoch:0, batch:9, time:2.22, acc:0.50, loss:32.14
Step:2, epoch:0, batch:10, time:2.44, acc:0.52, loss:29.67
Step:2, epoch:0, batch:11, time:2.67, acc:0.53, loss:31.18
Step:3, epoch:0, batch:12, time:2.88, acc:0.54, loss:28.50
Step:3, epoch:0, batch:13, time:3.08, acc:0.54, loss:27.69
Step:3, epoch:0, batch:14, time:3.34, acc:0.55, loss:28.70
Step:3, epoch:0, batch:15, time:3.51, acc:0.56, loss:25.00
Step:4, epoch:0, batch:16, time:3.75, acc:0.56, loss:30.58
Step:4, epoch:0, batch:17, time:3.95, acc:0.57, loss:21.86
Step:4, epoch:0, batch:18, time:4.13, acc:0.58, loss:22.27
Step:4, epoch:0, batch:19, time:4.38, acc:0.58, loss:27.20
Step:5, epoch:0, batch:20, time:4.58, acc:0.58, loss:23.27
Step:5, epoch:0, batch:21, time:4.75, acc:0.58, loss:19.85
Step:5, epoch:0, batch:22, time:4.90, acc:0.58, loss:19.56
Step:5, epoch:0, batch:23, time:5.07, acc:0.57, loss:20.36
Step:6, epoch:0, batch:24, time:5.36, acc:0.57, loss:24.11
Step:6, epoch:0, batch:25, time:5.58, acc:0.57, loss:21.71
Step:6, epoch:0, batch:26, time:5.81, acc:0.57, loss:23.01
Step:6, epoch:0, batch:27, time:6.02, acc:0.56, loss:18.90
Step:7, epoch:0, batch:28, time:6.21, acc:0.56, loss:22.91
Step:7, epoch:0, batch:29, time:6.42, acc:0.56, loss:23.30
Step:7, epoch:0, batch:30, time:6.66, acc:0.56, loss:17.93
Step:7, epoch:0, batch:31, time:6.88, acc:0.56, loss:24.26
Step:8, epoch:0, batch:32, time:7.18, acc:0.57, loss:23.90
Step:8, epoch:0, batch:33, time:7.45, acc:0.57, loss:22.28
Step:8, epoch:0, batch:34, time:7.66, acc:0.58, loss:15.10
Step:8, epoch:0, batch:35, time:7.89, acc:0.58, loss:23.82
Step:9, epoch:0, batch:36, time:8.07, acc:0.58, loss:18.63
Step:9, epoch:0, batch:37, time:8.24, acc:0.59, loss:15.61
Step:9, epoch:0, batch:38, time:8.53, acc:0.59, loss:21.81
Step:9, epoch:0, batch:39, time:8.92, acc:0.60, loss:18.69
Step:10, epoch:0, batch:40, time:9.11, acc:0.61, loss:18.13
Step:10, epoch:0, batch:41, time:9.32, acc:0.61, loss:16.91
Step:10, epoch:0, batch:42, time:9.68, acc:0.62, loss:20.04
Step:10, epoch:0, batch:43, time:9.90, acc:0.62, loss:15.47
Step:11, epoch:0, batch:44, time:10.08, acc:0.62, loss:14.29
Step:11, epoch:0, batch:45, time:10.37, acc:0.63, loss:17.71
Step:11, epoch:0, batch:46, time:10.60, acc:0.63, loss:16.89
Step:11, epoch:0, batch:47, time:10.81, acc:0.64, loss:14.52
Step:12, epoch:0, batch:48, time:11.09, acc:0.64, loss:15.69
Step:12, epoch:0, batch:49, time:11.45, acc:0.64, loss:20.56
Step:12, epoch:0, batch:50, time:11.70, acc:0.65, loss:15.78
Step:12, epoch:0, batch:51, time:11.91, acc:0.65, loss:15.16
Step:13, epoch:0, batch:52, time:12.21, acc:0.65, loss:12.49
Step:13, epoch:0, batch:53, time:12.43, acc:0.66, loss:15.02
Step:13, epoch:0, batch:54, time:12.66, acc:0.66, loss:14.81
Step:13, epoch:0, batch:55, time:12.92, acc:0.66, loss:15.35
Step:14, epoch:0, batch:56, time:13.13, acc:0.66, loss:12.32
Step:14, epoch:0, batch:57, time:13.44, acc:0.67, loss:14.83
Step:14, epoch:0, batch:58, time:13.66, acc:0.67, loss:16.40
Step:14, epoch:0, batch:59, time:13.88, acc:0.67, loss:12.33
Step:15, epoch:0, batch:60, time:14.08, acc:0.68, loss:10.77
Step:15, epoch:0, batch:61, time:14.28, acc:0.68, loss:11.80
Step:15, epoch:0, batch:62, time:14.57, acc:0.68, loss:15.15
Step:15, epoch:0, batch:63, time:14.74, acc:0.69, loss:10.54
Step:16, epoch:0, batch:64, time:14.93, acc:0.69, loss:9.41
Step:16, epoch:0, batch:65, time:15.13, acc:0.69, loss:10.92
Step:16, epoch:0, batch:66, time:15.34, acc:0.69, loss:12.09
Step:16, epoch:0, batch:67, time:15.54, acc:0.70, loss:13.61
Step:17, epoch:0, batch:68, time:15.89, acc:0.70, loss:14.64
Step:17, epoch:0, batch:69, time:16.13, acc:0.70, loss:13.46
Step:17, epoch:0, batch:70, time:16.37, acc:0.71, loss:11.96
Step:17, epoch:0, batch:71, time:16.58, acc:0.71, loss:11.92
Step:18, epoch:0, batch:72, time:16.75, acc:0.71, loss:8.96
Step:18, epoch:0, batch:73, time:16.98, acc:0.71, loss:14.07
Step:18, epoch:0, batch:74, time:17.21, acc:0.72, loss:8.48
Step:18, epoch:0, batch:75, time:17.44, acc:0.72, loss:12.06
Step:19, epoch:0, batch:76, time:17.83, acc:0.72, loss:16.20
Step:19, epoch:0, batch:77, time:18.02, acc:0.72, loss:12.07
Step:19, epoch:0, batch:78, time:18.19, acc:0.72, loss:12.02
Step:19, epoch:0, batch:79, time:18.40, acc:0.73, loss:12.36
Step:20, epoch:0, batch:80, time:18.56, acc:0.73, loss:8.02
Step:20, epoch:0, batch:81, time:18.82, acc:0.73, loss:11.47
Step:20, epoch:0, batch:82, time:19.04, acc:0.73, loss:9.41
Step:20, epoch:0, batch:83, time:19.32, acc:0.73, loss:9.68
Step:21, epoch:0, batch:84, time:19.57, acc:0.74, loss:11.23
Step:21, epoch:0, batch:85, time:19.75, acc:0.74, loss:10.68
Step:21, epoch:0, batch:86, time:19.95, acc:0.74, loss:10.23
Step:21, epoch:0, batch:87, time:20.17, acc:0.74, loss:11.38
Step:22, epoch:0, batch:88, time:20.42, acc:0.74, loss:11.01
Step:22, epoch:0, batch:89, time:20.60, acc:0.74, loss:9.06
Step:22, epoch:0, batch:90, time:20.77, acc:0.75, loss:8.75
Step:22, epoch:0, batch:91, time:21.03, acc:0.75, loss:10.57
Step:23, epoch:0, batch:92, time:21.25, acc:0.75, loss:11.65
Step:23, epoch:0, batch:93, time:21.42, acc:0.75, loss:7.64
Step:23, epoch:0, batch:94, time:21.60, acc:0.75, loss:9.16
Step:23, epoch:0, batch:95, time:21.79, acc:0.75, loss:9.26
Step:24, epoch:0, batch:96, time:22.06, acc:0.76, loss:10.64
Step:24, epoch:0, batch:97, time:22.22, acc:0.76, loss:6.81
Step:24, epoch:0, batch:98, time:22.42, acc:0.76, loss:8.99
Step:24, epoch:0, batch:99, time:22.65, acc:0.76, loss:9.88
Step:25, epoch:0, batch:100, time:22.89, acc:0.76, loss:8.06
Step:25, epoch:0, batch:101, time:23.11, acc:0.76, loss:7.09
Step:25, epoch:0, batch:102, time:23.32, acc:0.76, loss:9.14
Step:25, epoch:0, batch:103, time:23.55, acc:0.77, loss:10.85
Step:26, epoch:0, batch:104, time:23.74, acc:0.77, loss:8.98
Step:26, epoch:0, batch:105, time:23.94, acc:0.77, loss:8.82
Step:26, epoch:0, batch:106, time:24.31, acc:0.77, loss:11.90
Step:26, epoch:0, batch:107, time:24.51, acc:0.77, loss:10.76
Step:27, epoch:0, batch:108, time:24.69, acc:0.77, loss:8.30
Step:27, epoch:0, batch:109, time:24.99, acc:0.77, loss:8.61
Step:27, epoch:0, batch:110, time:25.34, acc:0.78, loss:12.95
Step:27, epoch:0, batch:111, time:25.55, acc:0.78, loss:7.72
Step:28, epoch:0, batch:112, time:25.74, acc:0.78, loss:8.00
Step:28, epoch:0, batch:113, time:25.95, acc:0.78, loss:7.87
Step:28, epoch:0, batch:114, time:26.22, acc:0.78, loss:7.86
Step:28, epoch:0, batch:115, time:26.40, acc:0.78, loss:8.21
Step:29, epoch:0, batch:116, time:26.67, acc:0.78, loss:9.75
Step:29, epoch:0, batch:117, time:26.86, acc:0.78, loss:8.32
Step:29, epoch:0, batch:118, time:27.10, acc:0.79, loss:10.30
Step:29, epoch:0, batch:119, time:27.39, acc:0.79, loss:7.89
Step:30, epoch:0, batch:120, time:27.65, acc:0.79, loss:9.88
Step:30, epoch:0, batch:121, time:27.92, acc:0.79, loss:8.14
Step:30, epoch:0, batch:122, time:28.14, acc:0.79, loss:7.35
Step:30, epoch:0, batch:123, time:28.32, acc:0.79, loss:5.78
Step:31, epoch:0, batch:124, time:28.52, acc:0.79, loss:6.58
Step:31, epoch:0, batch:125, time:28.71, acc:0.79, loss:8.46
Step:31, epoch:0, batch:126, time:28.92, acc:0.79, loss:8.83
Step:31, epoch:0, batch:127, time:29.17, acc:0.79, loss:6.79
Step:32, epoch:0, batch:128, time:29.36, acc:0.80, loss:6.89
Step:32, epoch:0, batch:129, time:29.72, acc:0.80, loss:9.94
Step:32, epoch:0, batch:130, time:29.99, acc:0.80, loss:6.91
Step:32, epoch:0, batch:131, time:30.24, acc:0.80, loss:7.19
Step:33, epoch:0, batch:132, time:30.80, acc:0.80, loss:12.31
Step:33, epoch:0, batch:133, time:30.98, acc:0.80, loss:5.37
Step:33, epoch:0, batch:134, time:31.16, acc:0.80, loss:8.94
Step:33, epoch:0, batch:135, time:31.32, acc:0.80, loss:7.19
Step:34, epoch:0, batch:136, time:31.53, acc:0.80, loss:6.99
Step:34, epoch:0, batch:137, time:31.72, acc:0.80, loss:9.87
Step:34, epoch:0, batch:138, time:31.92, acc:0.80, loss:7.06
Step:34, epoch:0, batch:139, time:32.20, acc:0.80, loss:8.11
Step:35, epoch:0, batch:140, time:32.42, acc:0.81, loss:8.18
Step:35, epoch:0, batch:141, time:32.63, acc:0.81, loss:6.82
Step:35, epoch:0, batch:142, time:32.80, acc:0.81, loss:5.75
Step:35, epoch:0, batch:143, time:32.99, acc:0.81, loss:7.57
